0 [0.01, 0.01]
2570 [2.501377e-03, 2.174560e-02]
2580 [2.486657e-03, 2.157363e-02]
2590 [2.205448e-03, 2.091954e-02]
2600 [2.458266e-03, 2.160314e-02]
2610 [2.512065e-03, 2.186005e-02]
2620 [2.315377e-03, 2.139592e-02]
2630 [2.394085e-03, 2.155081e-02]
2640 [2.446098e-03, 2.178005e-02]
2650 [2.393133e-03, 2.168050e-02]
2660 [2.195737e-03, 2.116123e-02]
2670 [2.304506e-03, 2.135996e-02]
2680 [2.401123e-03, 2.176318e-02]
2690 [2.107490e-03, 2.095245e-02]
2700 [2.256809e-03, 2.128244e-02]
2710 [2.413482e-03, 2.177428e-02]
2720 [2.319879e-03, 2.148814e-02]
2730 [2.280915e-03, 2.149016e-02]
2740 [2.315769e-03, 2.164965e-02]
2750 [2.279713e-03, 2.156707e-02]
2760 [2.172445e-03, 2.126456e-02]
2770 [2.261628e-03, 2.147266e-02]
2780 [2.237110e-03, 2.137334e-02]
2790 [2.217528e-03, 2.129800e-02]
2800 [2.306858e-03, 2.154224e-02]
2810 [2.069673e-03, 2.096802e-02]
2820 [2.155489e-03, 2.120513e-02]
2830 [2.280868e-03, 2.156638e-02]
2840 [2.209247e-03, 2.145580e-02]
2850 [2.200698e-03, 2.143836e-02]
2860 [2.226413e-03, 2.153248e-02]
2870 [2.143042e-03, 2.124163e-02]
2880 [2.047729e-03, 2.101541e-02]
2890 [2.158274e-03, 2.148488e-02]
2900 [2.156950e-03, 2.128679e-02]
2910 [2.090550e-03, 2.112696e-02]
2920 [2.189210e-03, 2.147449e-02]
2930 [2.168855e-03, 2.146218e-02]
2940 [2.117114e-03, 2.134839e-02]
2950 [1.992633e-03, 2.110325e-02]
2960 [2.068805e-03, 2.101246e-02]
2970 [2.141351e-03, 2.142658e-02]
2980 [2.032093e-03, 2.102996e-02]
2990 [2.086303e-03, 2.125337e-02]
3000 [2.159277e-03, 2.144355e-02]
3010 [2.011431e-03, 2.106642e-02]
3020 [2.097937e-03, 2.128568e-02]
3030 [2.130828e-03, 2.132720e-02]
3040 [2.067941e-03, 2.108893e-02]
3050 [2.092174e-03, 2.121249e-02]
3060 [2.035176e-03, 2.120845e-02]
3070 [2.099211e-03, 2.128553e-02]
3080 [2.079507e-03, 2.129064e-02]
3090 [2.006102e-03, 2.111247e-02]
3100 [1.911988e-03, 2.069654e-02]
3110 [2.097184e-03, 2.129335e-02]
3120 [1.916370e-03, 2.079020e-02]
3130 [1.979008e-03, 2.095686e-02]
3140 [2.088201e-03, 2.132370e-02]
3150 [1.943572e-03, 2.110703e-02]
3160 [2.028747e-03, 2.097148e-02]
3170 [2.021955e-03, 2.112335e-02]
3180 [2.000620e-03, 2.110882e-02]
3190 [2.044022e-03, 2.116822e-02]
3200 [2.038079e-03, 2.119851e-02]
3210 [2.036474e-03, 2.119366e-02]
3220 [2.041218e-03, 2.120302e-02]
3230 [2.038551e-03, 2.102745e-02]
3240 [1.784350e-03, 2.027188e-02]
3250 [2.044981e-03, 2.112300e-02]
3260 [2.074592e-03, 2.115923e-02]
3270 [1.986161e-03, 2.102699e-02]
3280 [2.041817e-03, 2.117157e-02]
3290 [2.011651e-03, 2.110440e-02]
3300 [1.937291e-03, 2.104432e-02]
3310 [1.936995e-03, 2.079958e-02]
3320 [1.968992e-03, 2.104554e-02]
3330 [1.984708e-03, 2.099445e-02]
3340 [1.990406e-03, 2.098169e-02]
3350 [2.007087e-03, 2.108233e-02]
3360 [1.948416e-03, 2.086814e-02]
3370 [1.927132e-03, 2.080804e-02]
3380 [1.978963e-03, 2.094517e-02]
3390 [1.914523e-03, 2.070735e-02]
3400 [2.027835e-03, 2.107085e-02]
3410 [2.007745e-03, 2.101048e-02]
3420 [1.932948e-03, 2.079586e-02]
3430 [2.046156e-03, 2.107950e-02]
3440 [1.868041e-03, 2.052014e-02]
3450 [1.936108e-03, 2.075160e-02]
3460 [2.087406e-03, 2.105359e-02]
3470 [1.952758e-03, 2.055386e-02]
3480 [1.940492e-03, 2.067478e-02]
3490 [1.980420e-03, 2.073805e-02]
