0 [0.001, 0.01]
2570 [1.235542e-04, 1.910184e-02]
2580 [1.636789e-04, 1.905716e-02]
2590 [1.323880e-04, 1.890674e-02]
2600 [1.077889e-04, 1.897465e-02]
2610 [1.023713e-04, 1.915883e-02]
2620 [1.189634e-04, 1.915467e-02]
2630 [1.102565e-04, 1.913914e-02]
2640 [1.082123e-04, 1.915421e-02]
2650 [1.173510e-04, 1.915765e-02]
2660 [1.155949e-04, 1.916448e-02]
2670 [1.168574e-04, 1.915711e-02]
2680 [1.151053e-04, 1.885829e-02]
2690 [1.163293e-04, 1.898647e-02]
2700 [1.236990e-04, 1.912448e-02]
2710 [1.796698e-04, 1.905068e-02]
2720 [6.442109e-05, 1.893494e-02]
2730 [1.447648e-04, 1.885840e-02]
2740 [1.009573e-04, 1.917436e-02]
2750 [1.124074e-04, 1.921657e-02]
2760 [1.173081e-04, 1.916442e-02]
2770 [1.112634e-04, 1.918360e-02]
2780 [1.142623e-04, 1.920070e-02]
2790 [1.144529e-04, 1.920684e-02]
2800 [1.133365e-04, 1.921020e-02]
2810 [1.144515e-04, 1.921319e-02]
2820 [1.185345e-04, 1.921162e-02]
2830 [1.474840e-04, 1.907517e-02]
2840 [1.418630e-04, 1.892710e-02]
2850 [8.927609e-05, 1.903952e-02]
2860 [1.330718e-04, 1.919723e-02]
2870 [1.156006e-04, 1.923268e-02]
2880 [1.042429e-04, 1.921131e-02]
2890 [1.009582e-04, 1.923322e-02]
2900 [7.994051e-05, 1.924979e-02]
2910 [5.834614e-05, 1.915527e-02]
2920 [1.489599e-04, 1.912385e-02]
2930 [1.062968e-04, 1.926552e-02]
2940 [1.007752e-04, 1.925485e-02]
2950 [1.201445e-04, 1.923766e-02]
2960 [1.214751e-04, 1.923608e-02]
2970 [1.048293e-04, 1.913142e-02]
2980 [7.786919e-05, 1.920410e-02]
2990 [5.888182e-05, 1.912545e-02]
3000 [1.414490e-04, 1.910276e-02]
3010 [1.105602e-04, 1.926315e-02]
3020 [1.145647e-04, 1.923148e-02]
3030 [1.272962e-04, 1.922711e-02]
3040 [1.294133e-04, 1.925686e-02]
3050 [1.511977e-04, 1.923741e-02]
3060 [1.801977e-04, 1.906150e-02]
3070 [9.420210e-05, 1.917261e-02]
3080 [1.025236e-04, 1.926737e-02]
3090 [1.198487e-04, 1.929628e-02]
3100 [7.753736e-05, 1.928892e-02]
3110 [9.945020e-05, 1.909612e-02]
3120 [1.348963e-04, 1.913191e-02]
3130 [9.683002e-05, 1.933127e-02]
3140 [1.256143e-04, 1.931218e-02]
3150 [1.132731e-04, 1.927022e-02]
3160 [1.036171e-04, 1.928876e-02]
3170 [8.514252e-05, 1.928776e-02]
3180 [9.212903e-05, 1.924861e-02]
3190 [1.154816e-04, 1.923981e-02]
3200 [1.149190e-04, 1.932553e-02]
3210 [1.108113e-04, 1.932457e-02]
3220 [9.619682e-05, 1.930103e-02]
3230 [2.849700e-05, 1.904356e-02]
3240 [1.580119e-04, 1.902964e-02]
3250 [9.578647e-05, 1.931233e-02]
3260 [1.218352e-04, 1.931503e-02]
3270 [1.221849e-04, 1.930199e-02]
3280 [1.185124e-04, 1.932352e-02]
3290 [1.114456e-04, 1.934546e-02]
3300 [1.022456e-04, 1.935972e-02]
3310 [5.995532e-05, 1.932427e-02]
3320 [1.161803e-04, 1.920380e-02]
3330 [1.295118e-04, 1.924060e-02]
3340 [1.040162e-04, 1.934968e-02]
3350 [1.346292e-04, 1.930190e-02]
3360 [1.439793e-04, 1.925731e-02]
3370 [1.227315e-04, 1.932107e-02]
3380 [1.143390e-04, 1.937184e-02]
3390 [1.022598e-04, 1.936593e-02]
3400 [6.574226e-05, 1.930550e-02]
3410 [8.535853e-05, 1.911324e-02]
3420 [1.415139e-04, 1.918460e-02]
3430 [1.043781e-04, 1.938876e-02]
3440 [1.159183e-04, 1.937866e-02]
3450 [1.256028e-04, 1.933596e-02]
3460 [1.249255e-04, 1.936758e-02]
3470 [1.332905e-04, 1.937995e-02]
3480 [1.860604e-04, 1.927743e-02]
3490 [1.046653e-04, 1.921631e-02]
3500 [1.219876e-04, 1.924313e-02]
3510 [1.165181e-04, 1.938164e-02]
3520 [1.254898e-04, 1.941241e-02]
3530 [1.509390e-04, 1.931611e-02]
3540 [1.450687e-04, 1.922629e-02]
3550 [9.708249e-05, 1.935540e-02]
3560 [1.140558e-04, 1.942434e-02]
3570 [1.110038e-04, 1.932010e-02]
3580 [1.053902e-04, 1.935717e-02]
3590 [1.032258e-04, 1.941215e-02]
3600 [6.418552e-05, 1.935464e-02]
3610 [1.237670e-04, 1.927433e-02]
3620 [1.356805e-04, 1.935207e-02]
3630 [9.780422e-05, 1.944957e-02]
3640 [1.187397e-04, 1.942658e-02]
3650 [1.257653e-04, 1.941863e-02]
3660 [1.213165e-04, 1.943169e-02]
3670 [1.042638e-04, 1.931949e-02]
3680 [7.836842e-05, 1.929003e-02]
3690 [9.569427e-05, 1.931735e-02]
3700 [1.138042e-04, 1.941559e-02]
3710 [1.041917e-04, 1.944432e-02]
3720 [5.899237e-05, 1.935987e-02]
3730 [1.219358e-04, 1.929694e-02]
3740 [1.413534e-04, 1.939543e-02]
3750 [1.052937e-04, 1.947415e-02]
3760 [1.112758e-04, 1.945695e-02]
3770 [1.181118e-04, 1.944871e-02]
3780 [1.006412e-04, 1.942927e-02]
3790 [6.560962e-05, 1.936683e-02]
3800 [1.164546e-04, 1.929846e-02]
3810 [1.371074e-04, 1.941496e-02]
3820 [1.294176e-04, 1.942342e-02]
3830 [1.428024e-04, 1.935904e-02]
3840 [1.404626e-04, 1.939986e-02]
3850 [1.486768e-04, 1.942856e-02]
3860 [1.780398e-04, 1.929666e-02]
3870 [1.047088e-04, 1.940558e-02]
3880 [1.091302e-04, 1.949279e-02]
3890 [1.292513e-04, 1.944641e-02]
3900 [1.232996e-04, 1.945484e-02]
3910 [1.229612e-04, 1.943745e-02]
3920 [1.291465e-04, 1.927640e-02]
3930 [1.385439e-04, 1.934323e-02]
3940 [1.681729e-04, 1.943056e-02]
3950 [1.625268e-04, 1.921380e-02]
3960 [1.007376e-04, 1.932522e-02]
3970 [1.279710e-04, 1.948647e-02]
3980 [1.166817e-04, 1.952433e-02]
3990 [1.276720e-04, 1.948457e-02]
4000 [1.175335e-04, 1.950493e-02]
4010 [1.082367e-04, 1.947084e-02]
4020 [1.224868e-04, 1.931532e-02]
4030 [1.198413e-04, 1.938780e-02]
4040 [1.286186e-04, 1.950187e-02]
4050 [1.328420e-04, 1.949990e-02]
4060 [1.657602e-04, 1.944635e-02]
4070 [1.760763e-04, 1.928737e-02]
4080 [8.657067e-05, 1.942579e-02]
4090 [1.403210e-04, 1.949411e-02]
4100 [1.106568e-04, 1.954489e-02]
4110 [1.256308e-04, 1.951799e-02]
4120 [1.097498e-04, 1.950808e-02]
4130 [9.128187e-05, 1.937137e-02]
4140 [1.333709e-04, 1.940741e-02]
4150 [1.411463e-04, 1.952298e-02]
4160 [1.370207e-04, 1.952212e-02]
4170 [1.406571e-04, 1.949075e-02]
4180 [1.459450e-04, 1.949195e-02]
4190 [1.645973e-04, 1.942088e-02]
4200 [1.627225e-04, 1.931862e-02]
4210 [1.115467e-04, 1.939471e-02]
4220 [1.109407e-04, 1.952691e-02]
4230 [1.388140e-04, 1.951472e-02]
4240 [1.410622e-04, 1.951126e-02]
4250 [1.335651e-04, 1.954501e-02]
4260 [1.404352e-04, 1.953467e-02]
4270 [1.653565e-04, 1.930762e-02]
4280 [1.490596e-04, 1.931796e-02]
4290 [1.286381e-04, 1.949864e-02]
4300 [1.199771e-04, 1.956755e-02]
4310 [1.079211e-04, 1.956664e-02]
4320 [5.237368e-05, 1.939836e-02]
4330 [1.401603e-04, 1.932278e-02]
4340 [1.337520e-04, 1.953554e-02]
4350 [1.114637e-04, 1.958869e-02]
4360 [1.148524e-04, 1.955942e-02]
4370 [1.223046e-04, 1.957707e-02]
4380 [1.205845e-04, 1.959686e-02]
4390 [1.009911e-04, 1.960701e-02]
4400 [2.714839e-05, 1.951276e-02]
4410 [1.638187e-04, 1.930021e-02]
4420 [1.215555e-04, 1.951901e-02]
4430 [1.254306e-04, 1.959608e-02]
4440 [1.215373e-04, 1.958445e-02]
4450 [1.084115e-04, 1.957266e-02]
4460 [9.369003e-05, 1.950929e-02]
4470 [1.402400e-04, 1.953610e-02]
4480 [1.379344e-04, 1.958837e-02]
4490 [1.198949e-04, 1.960860e-02]
4500 [1.135403e-04, 1.961416e-02]
4510 [9.713933e-05, 1.955792e-02]
4520 [1.153069e-04, 1.937675e-02]
4530 [1.376293e-04, 1.945738e-02]
4540 [1.265184e-04, 1.960295e-02]
4550 [1.218974e-04, 1.960090e-02]
4560 [1.321264e-04, 1.951621e-02]
4570 [2.008116e-04, 1.937871e-02]
4580 [1.063086e-04, 1.947532e-02]
4590 [1.245795e-04, 1.955965e-02]
4600 [1.353829e-04, 1.958635e-02]
4610 [1.183564e-04, 1.961730e-02]
4620 [1.291452e-04, 1.962706e-02]
4630 [1.322525e-04, 1.962905e-02]
4640 [1.324855e-04, 1.962368e-02]
4650 [1.349578e-04, 1.957840e-02]
4660 [1.332958e-04, 1.937970e-02]
4670 [1.165485e-04, 1.950117e-02]
4680 [1.300445e-04, 1.962599e-02]
4690 [1.325866e-04, 1.958249e-02]
4700 [1.949520e-04, 1.950678e-02]
4710 [7.000448e-05, 1.932832e-02]
4720 [1.440667e-04, 1.933971e-02]
4730 [1.369975e-04, 1.958775e-02]
4740 [1.456308e-04, 1.960742e-02]
4750 [1.217179e-04, 1.964410e-02]
4760 [1.262936e-04, 1.965337e-02]
4770 [1.269741e-04, 1.965625e-02]
4780 [1.286460e-04, 1.965447e-02]
4790 [1.252809e-04, 1.965916e-02]
4800 [1.115180e-04, 1.954788e-02]
4810 [1.248162e-04, 1.949844e-02]
4820 [1.343476e-04, 1.960775e-02]
4830 [1.450320e-04, 1.961900e-02]
4840 [1.503552e-04, 1.954830e-02]
4850 [1.342404e-04, 1.960415e-02]
4860 [1.147573e-04, 1.968720e-02]
4870 [9.419602e-05, 1.964800e-02]
4880 [1.085444e-04, 1.956463e-02]
4890 [1.496208e-04, 1.961197e-02]
4900 [1.469779e-04, 1.965052e-02]
4910 [1.427805e-04, 1.959953e-02]
4920 [1.464895e-04, 1.962817e-02]
4930 [1.599099e-04, 1.960255e-02]
4940 [1.499488e-04, 1.944287e-02]
4950 [1.316526e-04, 1.953569e-02]
4960 [1.248246e-04, 1.965470e-02]
4970 [9.880237e-05, 1.969660e-02]
4980 [5.026229e-05, 1.968100e-02]
